***** Train *****
{'loss': 159.8463, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 126.9474, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 88.9365, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 80.1579, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 73.2468, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 50.4896, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 47.0859, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 36.4966, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 34.2161, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 27.1769, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 24.3252, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 25.3045, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 25.9851, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 22.848, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 25.5056, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 19.1958, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 24.7233, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 19.3382, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 22.6521, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 25.4647, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 19.1877, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 21.2815, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 22.8172, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 17.8382, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 27.5804, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 20.8074, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 21.1777, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 20.2809, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 15.9714, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 20.9711, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 16.9915, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 21.7275, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 15.1138, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 16.4011, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 16.4169, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 15.9689, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 19.8106, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 16.5508, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 15.908, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 18.0047, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 21.6761, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 17.7296, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 12.5187, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 11.4764, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 17.9023, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 13.5889, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
