***** Train *****
{'loss': 160.4046, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 131.2645, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 93.9799, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 85.424, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 77.7491, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 53.5787, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 49.1617, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 38.1354, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 34.8074, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 26.9744, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 24.4013, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 25.151, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 25.9831, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 22.9565, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 25.3526, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 19.6981, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 24.1703, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 19.1021, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 21.7713, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 25.816, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 18.354, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 21.008, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 22.042, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 15.5222, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 17.8595, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 17.5796, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 15.8612, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 15.1515, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 12.8122, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 15.5742, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 13.3278, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 16.8441, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 10.599, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 10.9668, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 12.078, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 10.9534, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 14.9934, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 11.2287, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 9.5365, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 13.3649, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 10.3638, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 11.6819, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 9.4765, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 7.4694, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 12.5368, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 9.4095, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 9.9213, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
{'loss': 10.3517, 'learning_rate': 4.914681834340562e-05, 'epoch': 0.17}
{'loss': 10.9588, 'learning_rate': 4.9129043725559906e-05, 'epoch': 0.17}
{'loss': 8.1319, 'learning_rate': 4.9111269107714185e-05, 'epoch': 0.18}
