***** Train *****
{'loss': 155.3654, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 117.7105, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 81.1839, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 72.3445, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 65.4546, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 44.3972, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 41.736, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 32.3551, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 30.8633, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 25.2913, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 23.0722, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 24.9229, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 26.144, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 22.6854, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 25.4847, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 19.4219, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 24.3239, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 19.3381, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 22.8349, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 27.3767, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 19.5115, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 23.1006, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 26.2444, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 18.3758, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 25.5249, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 23.295, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 23.6861, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 22.8263, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 19.6166, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 24.9248, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 21.631, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 25.173, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 19.9503, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 19.7403, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 23.0389, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 21.9759, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 26.8868, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 22.4545, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 21.7195, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 27.1552, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 25.0855, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 24.3902, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 19.3069, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 20.8402, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 25.9752, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 21.3042, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 26.5059, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
{'loss': 24.5846, 'learning_rate': 4.914681834340562e-05, 'epoch': 0.17}
{'loss': 21.734, 'learning_rate': 4.9129043725559906e-05, 'epoch': 0.17}
{'loss': 25.1452, 'learning_rate': 4.9111269107714185e-05, 'epoch': 0.18}
{'loss': 26.2637, 'learning_rate': 4.909349448986847e-05, 'epoch': 0.18}
{'loss': 22.8522, 'learning_rate': 4.907571987202275e-05, 'epoch': 0.18}
{'loss': 21.7725, 'learning_rate': 4.9057945254177043e-05, 'epoch': 0.19}
{'loss': 26.6771, 'learning_rate': 4.904017063633132e-05, 'epoch': 0.19}
{'loss': 21.3513, 'learning_rate': 4.902239601848561e-05, 'epoch': 0.2}
{'loss': 23.0341, 'learning_rate': 4.900462140063989e-05, 'epoch': 0.2}
{'loss': 24.6538, 'learning_rate': 4.8986846782794174e-05, 'epoch': 0.2}
{'loss': 21.2162, 'learning_rate': 4.8969072164948454e-05, 'epoch': 0.21}
{'loss': 24.0592, 'learning_rate': 4.895129754710274e-05, 'epoch': 0.21}
{'loss': 20.7195, 'learning_rate': 4.8933522929257026e-05, 'epoch': 0.21}
{'loss': 25.655, 'learning_rate': 4.8915748311411305e-05, 'epoch': 0.22}
{'loss': 18.5386, 'learning_rate': 4.889797369356559e-05, 'epoch': 0.22}
{'loss': 19.5093, 'learning_rate': 4.888019907571987e-05, 'epoch': 0.22}
{'loss': 24.1458, 'learning_rate': 4.886242445787416e-05, 'epoch': 0.23}
{'loss': 28.9843, 'learning_rate': 4.8844649840028436e-05, 'epoch': 0.23}
{'loss': 20.338, 'learning_rate': 4.882687522218273e-05, 'epoch': 0.23}
{'loss': 17.4871, 'learning_rate': 4.880910060433701e-05, 'epoch': 0.24}
{'loss': 26.596, 'learning_rate': 4.8791325986491294e-05, 'epoch': 0.24}
{'loss': 24.6088, 'learning_rate': 4.8773551368645574e-05, 'epoch': 0.25}
{'loss': 22.9689, 'learning_rate': 4.875577675079986e-05, 'epoch': 0.25}
{'loss': 25.6351, 'learning_rate': 4.873800213295414e-05, 'epoch': 0.25}
{'loss': 21.3816, 'learning_rate': 4.872022751510843e-05, 'epoch': 0.26}
{'loss': 24.3307, 'learning_rate': 4.870245289726271e-05, 'epoch': 0.26}
{'loss': 21.772, 'learning_rate': 4.8684678279417e-05, 'epoch': 0.26}
{'loss': 24.4776, 'learning_rate': 4.866690366157128e-05, 'epoch': 0.27}
{'loss': 24.948, 'learning_rate': 4.864912904372556e-05, 'epoch': 0.27}
{'loss': 22.6023, 'learning_rate': 4.863135442587984e-05, 'epoch': 0.27}
{'loss': 21.7365, 'learning_rate': 4.8613579808034135e-05, 'epoch': 0.28}
{'loss': 23.3559, 'learning_rate': 4.8595805190188414e-05, 'epoch': 0.28}
{'loss': 18.7873, 'learning_rate': 4.85780305723427e-05, 'epoch': 0.28}
{'loss': 19.8692, 'learning_rate': 4.856025595449698e-05, 'epoch': 0.29}
{'loss': 19.9756, 'learning_rate': 4.8542481336651266e-05, 'epoch': 0.29}
{'loss': 23.4247, 'learning_rate': 4.8524706718805545e-05, 'epoch': 0.3}
{'loss': 22.9516, 'learning_rate': 4.850693210095983e-05, 'epoch': 0.3}
{'loss': 26.3767, 'learning_rate': 4.848915748311412e-05, 'epoch': 0.3}
{'loss': 21.5915, 'learning_rate': 4.8471382865268397e-05, 'epoch': 0.31}
{'loss': 22.8718, 'learning_rate': 4.845360824742268e-05, 'epoch': 0.31}
{'loss': 20.9442, 'learning_rate': 4.843583362957697e-05, 'epoch': 0.31}
{'loss': 26.8538, 'learning_rate': 4.841805901173125e-05, 'epoch': 0.32}
{'loss': 20.2785, 'learning_rate': 4.8400284393885534e-05, 'epoch': 0.32}
{'loss': 17.7719, 'learning_rate': 4.838250977603982e-05, 'epoch': 0.32}
{'loss': 26.0502, 'learning_rate': 4.83647351581941e-05, 'epoch': 0.33}
{'loss': 31.2558, 'learning_rate': 4.8346960540348386e-05, 'epoch': 0.33}
{'loss': 18.1277, 'learning_rate': 4.8329185922502665e-05, 'epoch': 0.33}
{'loss': 27.1748, 'learning_rate': 4.831141130465695e-05, 'epoch': 0.34}
{'loss': 20.5253, 'learning_rate': 4.829363668681123e-05, 'epoch': 0.34}
{'loss': 23.2011, 'learning_rate': 4.827586206896552e-05, 'epoch': 0.34}
{'loss': 22.4703, 'learning_rate': 4.82580874511198e-05, 'epoch': 0.35}
{'loss': 20.6833, 'learning_rate': 4.824031283327409e-05, 'epoch': 0.35}
{'loss': 25.4965, 'learning_rate': 4.822253821542837e-05, 'epoch': 0.36}
{'loss': 24.5406, 'learning_rate': 4.8204763597582654e-05, 'epoch': 0.36}
{'loss': 19.7506, 'learning_rate': 4.8186988979736933e-05, 'epoch': 0.36}
{'loss': 24.7061, 'learning_rate': 4.8169214361891226e-05, 'epoch': 0.37}
{'loss': 22.9206, 'learning_rate': 4.8151439744045506e-05, 'epoch': 0.37}
{'loss': 21.5768, 'learning_rate': 4.813366512619979e-05, 'epoch': 0.37}
{'loss': 22.9282, 'learning_rate': 4.811589050835407e-05, 'epoch': 0.38}
{'loss': 25.0639, 'learning_rate': 4.809811589050836e-05, 'epoch': 0.38}
{'loss': 24.5053, 'learning_rate': 4.8080341272662636e-05, 'epoch': 0.38}
{'loss': 20.3778, 'learning_rate': 4.806256665481693e-05, 'epoch': 0.39}
{'loss': 21.9381, 'learning_rate': 4.804479203697121e-05, 'epoch': 0.39}
{'loss': 19.4973, 'learning_rate': 4.8027017419125495e-05, 'epoch': 0.39}
{'loss': 24.2496, 'learning_rate': 4.8009242801279774e-05, 'epoch': 0.4}
{'loss': 19.373, 'learning_rate': 4.799146818343406e-05, 'epoch': 0.4}
{'loss': 19.2307, 'learning_rate': 4.797369356558834e-05, 'epoch': 0.41}
{'loss': 20.7796, 'learning_rate': 4.7955918947742626e-05, 'epoch': 0.41}
{'loss': 21.0348, 'learning_rate': 4.793814432989691e-05, 'epoch': 0.41}
{'loss': 18.5554, 'learning_rate': 4.792036971205119e-05, 'epoch': 0.42}
{'loss': 24.7082, 'learning_rate': 4.790259509420548e-05, 'epoch': 0.42}
{'loss': 18.5557, 'learning_rate': 4.7884820476359756e-05, 'epoch': 0.42}
{'loss': 23.185, 'learning_rate': 4.786704585851404e-05, 'epoch': 0.43}
{'loss': 18.7834, 'learning_rate': 4.784927124066833e-05, 'epoch': 0.43}
{'loss': 15.8996, 'learning_rate': 4.7831496622822615e-05, 'epoch': 0.43}
{'loss': 22.7427, 'learning_rate': 4.7813722004976894e-05, 'epoch': 0.44}
{'loss': 23.0833, 'learning_rate': 4.779594738713118e-05, 'epoch': 0.44}
{'loss': 26.6481, 'learning_rate': 4.777817276928546e-05, 'epoch': 0.44}
{'loss': 20.8427, 'learning_rate': 4.7760398151439746e-05, 'epoch': 0.45}
{'loss': 22.2572, 'learning_rate': 4.7742623533594025e-05, 'epoch': 0.45}
{'loss': 21.6989, 'learning_rate': 4.772484891574832e-05, 'epoch': 0.46}
{'loss': 19.6287, 'learning_rate': 4.77070742979026e-05, 'epoch': 0.46}
{'loss': 20.5022, 'learning_rate': 4.768929968005688e-05, 'epoch': 0.46}
{'loss': 26.9626, 'learning_rate': 4.767152506221116e-05, 'epoch': 0.47}
{'loss': 19.9894, 'learning_rate': 4.765375044436545e-05, 'epoch': 0.47}
{'loss': 22.8496, 'learning_rate': 4.763597582651973e-05, 'epoch': 0.47}
{'loss': 21.5585, 'learning_rate': 4.761820120867402e-05, 'epoch': 0.48}
{'loss': 24.7822, 'learning_rate': 4.76004265908283e-05, 'epoch': 0.48}
{'loss': 16.6891, 'learning_rate': 4.7582651972982586e-05, 'epoch': 0.48}
{'loss': 22.2955, 'learning_rate': 4.7564877355136865e-05, 'epoch': 0.49}
{'loss': 20.9631, 'learning_rate': 4.754710273729115e-05, 'epoch': 0.49}
{'loss': 24.2438, 'learning_rate': 4.752932811944543e-05, 'epoch': 0.49}
{'loss': 20.2595, 'learning_rate': 4.7511553501599724e-05, 'epoch': 0.5}
{'loss': 22.4944, 'learning_rate': 4.7493778883754e-05, 'epoch': 0.5}
{'loss': 21.7607, 'learning_rate': 4.747600426590829e-05, 'epoch': 0.5}
{'loss': 21.5415, 'learning_rate': 4.745822964806257e-05, 'epoch': 0.51}
{'loss': 15.7534, 'learning_rate': 4.7440455030216855e-05, 'epoch': 0.51}
{'loss': 23.5254, 'learning_rate': 4.7422680412371134e-05, 'epoch': 0.52}
{'loss': 21.5874, 'learning_rate': 4.740490579452542e-05, 'epoch': 0.52}
{'loss': 17.5259, 'learning_rate': 4.7387131176679706e-05, 'epoch': 0.52}
{'loss': 22.586, 'learning_rate': 4.7369356558833985e-05, 'epoch': 0.53}
{'loss': 22.0133, 'learning_rate': 4.735158194098827e-05, 'epoch': 0.53}
{'loss': 22.7056, 'learning_rate': 4.733380732314255e-05, 'epoch': 0.53}
{'loss': 22.3972, 'learning_rate': 4.731603270529684e-05, 'epoch': 0.54}
{'loss': 18.6805, 'learning_rate': 4.7298258087451116e-05, 'epoch': 0.54}
{'loss': 21.6897, 'learning_rate': 4.728048346960541e-05, 'epoch': 0.54}
{'loss': 29.9258, 'learning_rate': 4.726270885175969e-05, 'epoch': 0.55}
{'loss': 21.8792, 'learning_rate': 4.7244934233913975e-05, 'epoch': 0.55}
{'loss': 21.7493, 'learning_rate': 4.7227159616068254e-05, 'epoch': 0.55}
{'loss': 20.3835, 'learning_rate': 4.720938499822254e-05, 'epoch': 0.56}
{'loss': 16.0824, 'learning_rate': 4.719161038037682e-05, 'epoch': 0.56}
{'loss': 21.4171, 'learning_rate': 4.717383576253111e-05, 'epoch': 0.57}
{'loss': 22.0429, 'learning_rate': 4.715606114468539e-05, 'epoch': 0.57}
{'loss': 21.3352, 'learning_rate': 4.713828652683968e-05, 'epoch': 0.57}
{'loss': 19.5201, 'learning_rate': 4.712051190899396e-05, 'epoch': 0.58}
{'loss': 18.5716, 'learning_rate': 4.710273729114824e-05, 'epoch': 0.58}
{'loss': 21.9183, 'learning_rate': 4.708496267330252e-05, 'epoch': 0.58}
{'loss': 22.5831, 'learning_rate': 4.7067188055456815e-05, 'epoch': 0.59}
{'loss': 23.164, 'learning_rate': 4.7049413437611094e-05, 'epoch': 0.59}
{'loss': 25.0256, 'learning_rate': 4.703163881976538e-05, 'epoch': 0.59}
{'loss': 22.7209, 'learning_rate': 4.701386420191966e-05, 'epoch': 0.6}
{'loss': 20.9017, 'learning_rate': 4.6996089584073946e-05, 'epoch': 0.6}
{'loss': 20.5952, 'learning_rate': 4.6978314966228225e-05, 'epoch': 0.6}
{'loss': 23.543, 'learning_rate': 4.696054034838251e-05, 'epoch': 0.61}
{'loss': 21.5234, 'learning_rate': 4.69427657305368e-05, 'epoch': 0.61}
{'loss': 20.3594, 'learning_rate': 4.692499111269108e-05, 'epoch': 0.62}
{'loss': 24.2684, 'learning_rate': 4.690721649484536e-05, 'epoch': 0.62}
{'loss': 24.4107, 'learning_rate': 4.688944187699965e-05, 'epoch': 0.62}
{'loss': 19.6114, 'learning_rate': 4.687166725915393e-05, 'epoch': 0.63}
{'loss': 23.595, 'learning_rate': 4.6853892641308214e-05, 'epoch': 0.63}
{'loss': 25.2655, 'learning_rate': 4.68361180234625e-05, 'epoch': 0.63}
{'loss': 23.7602, 'learning_rate': 4.681834340561678e-05, 'epoch': 0.64}
{'loss': 20.8601, 'learning_rate': 4.6800568787771066e-05, 'epoch': 0.64}
{'loss': 21.7029, 'learning_rate': 4.6782794169925345e-05, 'epoch': 0.64}
{'loss': 25.9935, 'learning_rate': 4.676501955207963e-05, 'epoch': 0.65}
{'loss': 18.5083, 'learning_rate': 4.674724493423391e-05, 'epoch': 0.65}
{'loss': 18.9312, 'learning_rate': 4.6729470316388204e-05, 'epoch': 0.65}
{'loss': 19.1592, 'learning_rate': 4.671169569854248e-05, 'epoch': 0.66}
{'loss': 20.3853, 'learning_rate': 4.669392108069677e-05, 'epoch': 0.66}
{'loss': 23.9876, 'learning_rate': 4.667614646285105e-05, 'epoch': 0.66}
{'loss': 18.3359, 'learning_rate': 4.6658371845005334e-05, 'epoch': 0.67}
{'loss': 19.9341, 'learning_rate': 4.6640597227159614e-05, 'epoch': 0.67}
{'loss': 24.8863, 'learning_rate': 4.6622822609313907e-05, 'epoch': 0.68}
{'loss': 20.8312, 'learning_rate': 4.6605047991468186e-05, 'epoch': 0.68}
{'loss': 19.5721, 'learning_rate': 4.658727337362247e-05, 'epoch': 0.68}
{'loss': 22.1387, 'learning_rate': 4.656949875577675e-05, 'epoch': 0.69}
{'loss': 18.1992, 'learning_rate': 4.655172413793104e-05, 'epoch': 0.69}
{'loss': 24.9559, 'learning_rate': 4.653394952008532e-05, 'epoch': 0.69}
{'loss': 20.4761, 'learning_rate': 4.651617490223961e-05, 'epoch': 0.7}
{'loss': 21.0578, 'learning_rate': 4.649840028439389e-05, 'epoch': 0.7}
{'loss': 20.5154, 'learning_rate': 4.6480625666548175e-05, 'epoch': 0.7}
{'loss': 21.2083, 'learning_rate': 4.6462851048702454e-05, 'epoch': 0.71}
{'loss': 17.928, 'learning_rate': 4.644507643085674e-05, 'epoch': 0.71}
{'loss': 25.1485, 'learning_rate': 4.642730181301102e-05, 'epoch': 0.71}
{'loss': 19.8742, 'learning_rate': 4.6409527195165306e-05, 'epoch': 0.72}
{'loss': 21.2202, 'learning_rate': 4.639175257731959e-05, 'epoch': 0.72}
{'loss': 21.2588, 'learning_rate': 4.637397795947387e-05, 'epoch': 0.73}
{'loss': 16.8983, 'learning_rate': 4.635620334162816e-05, 'epoch': 0.73}
