***** Train *****
{'loss': 171.3902, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 130.7965, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 105.4654, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 91.5045, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 75.8504, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 60.8087, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 53.2162, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 36.9423, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 34.2766, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 33.9116, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 24.8491, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 18.7119, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 23.5745, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 25.0836, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 24.3873, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 28.1812, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 21.8933, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 16.9196, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 17.9581, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 24.0097, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 17.6319, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 16.7762, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 21.0271, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 20.0548, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 20.6674, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 17.5161, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 14.2252, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 19.9102, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 13.7141, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 11.2069, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 12.1483, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 10.3288, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 9.1706, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 11.1078, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 9.6484, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 12.0385, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 6.8296, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 9.1648, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 10.5382, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 7.8469, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 7.7923, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 9.9872, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 9.258, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 8.9062, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 5.7517, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 5.3862, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 5.9611, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
{'loss': 7.6421, 'learning_rate': 4.914681834340562e-05, 'epoch': 0.17}
{'loss': 7.2891, 'learning_rate': 4.9129043725559906e-05, 'epoch': 0.17}
{'loss': 10.5716, 'learning_rate': 4.9111269107714185e-05, 'epoch': 0.18}
{'loss': 9.7522, 'learning_rate': 4.909349448986847e-05, 'epoch': 0.18}
{'loss': 6.9702, 'learning_rate': 4.907571987202275e-05, 'epoch': 0.18}
{'loss': 7.0224, 'learning_rate': 4.9057945254177043e-05, 'epoch': 0.19}
{'loss': 6.3126, 'learning_rate': 4.904017063633132e-05, 'epoch': 0.19}
{'loss': 7.8717, 'learning_rate': 4.902239601848561e-05, 'epoch': 0.2}
{'loss': 6.9238, 'learning_rate': 4.900462140063989e-05, 'epoch': 0.2}
{'loss': 7.529, 'learning_rate': 4.8986846782794174e-05, 'epoch': 0.2}
{'loss': 5.4005, 'learning_rate': 4.8969072164948454e-05, 'epoch': 0.21}
{'loss': 5.9116, 'learning_rate': 4.895129754710274e-05, 'epoch': 0.21}
{'loss': 6.3994, 'learning_rate': 4.8933522929257026e-05, 'epoch': 0.21}
{'loss': 6.1301, 'learning_rate': 4.8915748311411305e-05, 'epoch': 0.22}
{'loss': 5.8965, 'learning_rate': 4.889797369356559e-05, 'epoch': 0.22}
{'loss': 7.007, 'learning_rate': 4.888019907571987e-05, 'epoch': 0.22}
{'loss': 6.4439, 'learning_rate': 4.886242445787416e-05, 'epoch': 0.23}
{'loss': 6.8589, 'learning_rate': 4.8844649840028436e-05, 'epoch': 0.23}
{'loss': 4.8866, 'learning_rate': 4.882687522218273e-05, 'epoch': 0.23}
{'loss': 5.0354, 'learning_rate': 4.880910060433701e-05, 'epoch': 0.24}
{'loss': 6.1098, 'learning_rate': 4.8791325986491294e-05, 'epoch': 0.24}
{'loss': 5.6924, 'learning_rate': 4.8773551368645574e-05, 'epoch': 0.25}
{'loss': 4.333, 'learning_rate': 4.875577675079986e-05, 'epoch': 0.25}
{'loss': 5.9218, 'learning_rate': 4.873800213295414e-05, 'epoch': 0.25}
{'loss': 5.4102, 'learning_rate': 4.872022751510843e-05, 'epoch': 0.26}
{'loss': 5.4898, 'learning_rate': 4.870245289726271e-05, 'epoch': 0.26}
{'loss': 6.3999, 'learning_rate': 4.8684678279417e-05, 'epoch': 0.26}
{'loss': 4.5149, 'learning_rate': 4.866690366157128e-05, 'epoch': 0.27}
{'loss': 3.1161, 'learning_rate': 4.864912904372556e-05, 'epoch': 0.27}
{'loss': 3.8337, 'learning_rate': 4.863135442587984e-05, 'epoch': 0.27}
{'loss': 5.3101, 'learning_rate': 4.8613579808034135e-05, 'epoch': 0.28}
{'loss': 3.3612, 'learning_rate': 4.8595805190188414e-05, 'epoch': 0.28}
{'loss': 6.163, 'learning_rate': 4.85780305723427e-05, 'epoch': 0.28}
{'loss': 4.2199, 'learning_rate': 4.856025595449698e-05, 'epoch': 0.29}
{'loss': 4.5383, 'learning_rate': 4.8542481336651266e-05, 'epoch': 0.29}
{'loss': 5.7225, 'learning_rate': 4.8524706718805545e-05, 'epoch': 0.3}
{'loss': 4.3739, 'learning_rate': 4.850693210095983e-05, 'epoch': 0.3}
{'loss': 4.5599, 'learning_rate': 4.848915748311412e-05, 'epoch': 0.3}
{'loss': 4.0703, 'learning_rate': 4.8471382865268397e-05, 'epoch': 0.31}
{'loss': 4.4577, 'learning_rate': 4.845360824742268e-05, 'epoch': 0.31}
{'loss': 4.181, 'learning_rate': 4.843583362957697e-05, 'epoch': 0.31}
{'loss': 3.271, 'learning_rate': 4.841805901173125e-05, 'epoch': 0.32}
{'loss': 4.4077, 'learning_rate': 4.8400284393885534e-05, 'epoch': 0.32}
{'loss': 3.8437, 'learning_rate': 4.838250977603982e-05, 'epoch': 0.32}
{'loss': 4.1286, 'learning_rate': 4.83647351581941e-05, 'epoch': 0.33}
{'loss': 4.0377, 'learning_rate': 4.8346960540348386e-05, 'epoch': 0.33}
{'loss': 2.7357, 'learning_rate': 4.8329185922502665e-05, 'epoch': 0.33}
{'loss': 3.0269, 'learning_rate': 4.831141130465695e-05, 'epoch': 0.34}
{'loss': 4.4391, 'learning_rate': 4.829363668681123e-05, 'epoch': 0.34}
{'loss': 4.6588, 'learning_rate': 4.827586206896552e-05, 'epoch': 0.34}
{'loss': 3.3341, 'learning_rate': 4.82580874511198e-05, 'epoch': 0.35}
{'loss': 4.115, 'learning_rate': 4.824031283327409e-05, 'epoch': 0.35}
{'loss': 3.0259, 'learning_rate': 4.822253821542837e-05, 'epoch': 0.36}
{'loss': 4.096, 'learning_rate': 4.8204763597582654e-05, 'epoch': 0.36}
{'loss': 5.2511, 'learning_rate': 4.8186988979736933e-05, 'epoch': 0.36}
{'loss': 3.36, 'learning_rate': 4.8169214361891226e-05, 'epoch': 0.37}
{'loss': 4.7894, 'learning_rate': 4.8151439744045506e-05, 'epoch': 0.37}
{'loss': 3.4152, 'learning_rate': 4.813366512619979e-05, 'epoch': 0.37}
{'loss': 4.0026, 'learning_rate': 4.811589050835407e-05, 'epoch': 0.38}
{'loss': 2.2956, 'learning_rate': 4.809811589050836e-05, 'epoch': 0.38}
{'loss': 3.2581, 'learning_rate': 4.8080341272662636e-05, 'epoch': 0.38}
{'loss': 3.2899, 'learning_rate': 4.806256665481693e-05, 'epoch': 0.39}
{'loss': 1.7636, 'learning_rate': 4.804479203697121e-05, 'epoch': 0.39}
{'loss': 3.3044, 'learning_rate': 4.8027017419125495e-05, 'epoch': 0.39}
{'loss': 2.7062, 'learning_rate': 4.8009242801279774e-05, 'epoch': 0.4}
{'loss': 2.8803, 'learning_rate': 4.799146818343406e-05, 'epoch': 0.4}
{'loss': 3.0255, 'learning_rate': 4.797369356558834e-05, 'epoch': 0.41}
{'loss': 3.625, 'learning_rate': 4.7955918947742626e-05, 'epoch': 0.41}
{'loss': 3.3786, 'learning_rate': 4.793814432989691e-05, 'epoch': 0.41}
{'loss': 3.1238, 'learning_rate': 4.792036971205119e-05, 'epoch': 0.42}
{'loss': 4.6266, 'learning_rate': 4.790259509420548e-05, 'epoch': 0.42}
{'loss': 3.7421, 'learning_rate': 4.7884820476359756e-05, 'epoch': 0.42}
{'loss': 3.3975, 'learning_rate': 4.786704585851404e-05, 'epoch': 0.43}
{'loss': 3.638, 'learning_rate': 4.784927124066833e-05, 'epoch': 0.43}
{'loss': 3.5133, 'learning_rate': 4.7831496622822615e-05, 'epoch': 0.43}
{'loss': 2.9589, 'learning_rate': 4.7813722004976894e-05, 'epoch': 0.44}
{'loss': 2.677, 'learning_rate': 4.779594738713118e-05, 'epoch': 0.44}
{'loss': 1.3576, 'learning_rate': 4.777817276928546e-05, 'epoch': 0.44}
{'loss': 2.6558, 'learning_rate': 4.7760398151439746e-05, 'epoch': 0.45}
{'loss': 2.4385, 'learning_rate': 4.7742623533594025e-05, 'epoch': 0.45}
{'loss': 2.4623, 'learning_rate': 4.772484891574832e-05, 'epoch': 0.46}
{'loss': 3.9705, 'learning_rate': 4.77070742979026e-05, 'epoch': 0.46}
{'loss': 3.6897, 'learning_rate': 4.768929968005688e-05, 'epoch': 0.46}
{'loss': 2.2135, 'learning_rate': 4.767152506221116e-05, 'epoch': 0.47}
{'loss': 3.0215, 'learning_rate': 4.765375044436545e-05, 'epoch': 0.47}
{'loss': 2.7807, 'learning_rate': 4.763597582651973e-05, 'epoch': 0.47}
{'loss': 2.1904, 'learning_rate': 4.761820120867402e-05, 'epoch': 0.48}
{'loss': 3.3947, 'learning_rate': 4.76004265908283e-05, 'epoch': 0.48}
{'loss': 4.1414, 'learning_rate': 4.7582651972982586e-05, 'epoch': 0.48}
{'loss': 1.3059, 'learning_rate': 4.7564877355136865e-05, 'epoch': 0.49}
{'loss': 2.7522, 'learning_rate': 4.754710273729115e-05, 'epoch': 0.49}
{'loss': 4.6144, 'learning_rate': 4.752932811944543e-05, 'epoch': 0.49}
{'loss': 3.2425, 'learning_rate': 4.7511553501599724e-05, 'epoch': 0.5}
{'loss': 4.093, 'learning_rate': 4.7493778883754e-05, 'epoch': 0.5}
{'loss': 1.5573, 'learning_rate': 4.747600426590829e-05, 'epoch': 0.5}
{'loss': 3.1511, 'learning_rate': 4.745822964806257e-05, 'epoch': 0.51}
{'loss': 3.1863, 'learning_rate': 4.7440455030216855e-05, 'epoch': 0.51}
{'loss': 2.2587, 'learning_rate': 4.7422680412371134e-05, 'epoch': 0.52}
{'loss': 4.5176, 'learning_rate': 4.740490579452542e-05, 'epoch': 0.52}
{'loss': 8.6849, 'learning_rate': 4.7387131176679706e-05, 'epoch': 0.52}
{'loss': 3.0321, 'learning_rate': 4.7369356558833985e-05, 'epoch': 0.53}
{'loss': 2.2772, 'learning_rate': 4.735158194098827e-05, 'epoch': 0.53}
{'loss': 4.8983, 'learning_rate': 4.733380732314255e-05, 'epoch': 0.53}
{'loss': 2.8131, 'learning_rate': 4.731603270529684e-05, 'epoch': 0.54}
{'loss': 2.3809, 'learning_rate': 4.7298258087451116e-05, 'epoch': 0.54}
{'loss': 3.7519, 'learning_rate': 4.728048346960541e-05, 'epoch': 0.54}
{'loss': 2.0975, 'learning_rate': 4.726270885175969e-05, 'epoch': 0.55}
{'loss': 3.65, 'learning_rate': 4.7244934233913975e-05, 'epoch': 0.55}
{'loss': 2.1386, 'learning_rate': 4.7227159616068254e-05, 'epoch': 0.55}
{'loss': 2.4284, 'learning_rate': 4.720938499822254e-05, 'epoch': 0.56}
{'loss': 1.682, 'learning_rate': 4.719161038037682e-05, 'epoch': 0.56}
{'loss': 2.4203, 'learning_rate': 4.717383576253111e-05, 'epoch': 0.57}
{'loss': 1.7496, 'learning_rate': 4.715606114468539e-05, 'epoch': 0.57}
{'loss': 2.9344, 'learning_rate': 4.713828652683968e-05, 'epoch': 0.57}
{'loss': 3.7004, 'learning_rate': 4.712051190899396e-05, 'epoch': 0.58}
{'loss': 2.8589, 'learning_rate': 4.710273729114824e-05, 'epoch': 0.58}
{'loss': 2.2761, 'learning_rate': 4.708496267330252e-05, 'epoch': 0.58}
{'loss': 2.5245, 'learning_rate': 4.7067188055456815e-05, 'epoch': 0.59}
{'loss': 2.5242, 'learning_rate': 4.7049413437611094e-05, 'epoch': 0.59}
{'loss': 1.4577, 'learning_rate': 4.703163881976538e-05, 'epoch': 0.59}
{'loss': 3.5577, 'learning_rate': 4.701386420191966e-05, 'epoch': 0.6}
{'loss': 3.3408, 'learning_rate': 4.6996089584073946e-05, 'epoch': 0.6}
{'loss': 1.8886, 'learning_rate': 4.6978314966228225e-05, 'epoch': 0.6}
{'loss': 3.213, 'learning_rate': 4.696054034838251e-05, 'epoch': 0.61}
{'loss': 1.8864, 'learning_rate': 4.69427657305368e-05, 'epoch': 0.61}
{'loss': 3.2591, 'learning_rate': 4.692499111269108e-05, 'epoch': 0.62}
{'loss': 2.771, 'learning_rate': 4.690721649484536e-05, 'epoch': 0.62}
{'loss': 3.81, 'learning_rate': 4.688944187699965e-05, 'epoch': 0.62}
{'loss': 3.3647, 'learning_rate': 4.687166725915393e-05, 'epoch': 0.63}
{'loss': 1.6966, 'learning_rate': 4.6853892641308214e-05, 'epoch': 0.63}
{'loss': 2.1675, 'learning_rate': 4.68361180234625e-05, 'epoch': 0.63}
{'loss': 1.73, 'learning_rate': 4.681834340561678e-05, 'epoch': 0.64}
{'loss': 3.9617, 'learning_rate': 4.6800568787771066e-05, 'epoch': 0.64}
{'loss': 1.7939, 'learning_rate': 4.6782794169925345e-05, 'epoch': 0.64}
{'loss': 2.0227, 'learning_rate': 4.676501955207963e-05, 'epoch': 0.65}
{'loss': 2.0477, 'learning_rate': 4.674724493423391e-05, 'epoch': 0.65}
{'loss': 3.1211, 'learning_rate': 4.6729470316388204e-05, 'epoch': 0.65}
{'loss': 1.8962, 'learning_rate': 4.671169569854248e-05, 'epoch': 0.66}
{'loss': 1.857, 'learning_rate': 4.669392108069677e-05, 'epoch': 0.66}
{'loss': 1.7309, 'learning_rate': 4.667614646285105e-05, 'epoch': 0.66}
{'loss': 5.0094, 'learning_rate': 4.6658371845005334e-05, 'epoch': 0.67}
{'loss': 1.7903, 'learning_rate': 4.6640597227159614e-05, 'epoch': 0.67}
{'loss': 3.0322, 'learning_rate': 4.6622822609313907e-05, 'epoch': 0.68}
{'loss': 2.5011, 'learning_rate': 4.6605047991468186e-05, 'epoch': 0.68}
{'loss': 2.7325, 'learning_rate': 4.658727337362247e-05, 'epoch': 0.68}
{'loss': 3.9019, 'learning_rate': 4.656949875577675e-05, 'epoch': 0.69}
{'loss': 1.575, 'learning_rate': 4.655172413793104e-05, 'epoch': 0.69}
{'loss': 2.0613, 'learning_rate': 4.653394952008532e-05, 'epoch': 0.69}
{'loss': 3.3205, 'learning_rate': 4.651617490223961e-05, 'epoch': 0.7}
{'loss': 2.5434, 'learning_rate': 4.649840028439389e-05, 'epoch': 0.7}
{'loss': 1.201, 'learning_rate': 4.6480625666548175e-05, 'epoch': 0.7}
{'loss': 2.3672, 'learning_rate': 4.6462851048702454e-05, 'epoch': 0.71}
{'loss': 1.7528, 'learning_rate': 4.644507643085674e-05, 'epoch': 0.71}
{'loss': 1.6902, 'learning_rate': 4.642730181301102e-05, 'epoch': 0.71}
{'loss': 1.2002, 'learning_rate': 4.6409527195165306e-05, 'epoch': 0.72}
{'loss': 1.7088, 'learning_rate': 4.639175257731959e-05, 'epoch': 0.72}
{'loss': 1.5285, 'learning_rate': 4.637397795947387e-05, 'epoch': 0.73}
{'loss': 2.5244, 'learning_rate': 4.635620334162816e-05, 'epoch': 0.73}
{'loss': 2.2501, 'learning_rate': 4.633842872378244e-05, 'epoch': 0.73}
{'loss': 2.4318, 'learning_rate': 4.632065410593672e-05, 'epoch': 0.74}
{'loss': 4.0748, 'learning_rate': 4.630287948809101e-05, 'epoch': 0.74}
{'loss': 1.6237, 'learning_rate': 4.6285104870245295e-05, 'epoch': 0.74}
{'loss': 1.9764, 'learning_rate': 4.6267330252399574e-05, 'epoch': 0.75}
{'loss': 2.5224, 'learning_rate': 4.624955563455386e-05, 'epoch': 0.75}
{'loss': 1.7789, 'learning_rate': 4.623178101670814e-05, 'epoch': 0.75}
{'loss': 1.9687, 'learning_rate': 4.6214006398862426e-05, 'epoch': 0.76}
{'loss': 1.5502, 'learning_rate': 4.6196231781016705e-05, 'epoch': 0.76}
{'loss': 2.4873, 'learning_rate': 4.6178457163171e-05, 'epoch': 0.76}
{'loss': 2.2255, 'learning_rate': 4.616068254532528e-05, 'epoch': 0.77}
{'loss': 1.9115, 'learning_rate': 4.6142907927479563e-05, 'epoch': 0.77}
{'loss': 4.1665, 'learning_rate': 4.612513330963384e-05, 'epoch': 0.77}
{'loss': 2.3668, 'learning_rate': 4.610735869178813e-05, 'epoch': 0.78}
{'loss': 1.8455, 'learning_rate': 4.608958407394241e-05, 'epoch': 0.78}
{'loss': 3.0783, 'learning_rate': 4.60718094560967e-05, 'epoch': 0.79}
{'loss': 2.0925, 'learning_rate': 4.605403483825098e-05, 'epoch': 0.79}
{'loss': 1.459, 'learning_rate': 4.6036260220405266e-05, 'epoch': 0.79}
{'loss': 2.3571, 'learning_rate': 4.6018485602559546e-05, 'epoch': 0.8}
{'loss': 1.6247, 'learning_rate': 4.600071098471383e-05, 'epoch': 0.8}
{'loss': 2.0114, 'learning_rate': 4.598293636686811e-05, 'epoch': 0.8}
{'loss': 2.8245, 'learning_rate': 4.5965161749022404e-05, 'epoch': 0.81}
{'loss': 1.2603, 'learning_rate': 4.594738713117668e-05, 'epoch': 0.81}
{'loss': 3.4704, 'learning_rate': 4.592961251333097e-05, 'epoch': 0.81}
{'loss': 1.0967, 'learning_rate': 4.591183789548525e-05, 'epoch': 0.82}
{'loss': 1.5286, 'learning_rate': 4.5894063277639535e-05, 'epoch': 0.82}
{'loss': 2.735, 'learning_rate': 4.5876288659793814e-05, 'epoch': 0.82}
{'loss': 2.2703, 'learning_rate': 4.58585140419481e-05, 'epoch': 0.83}
{'loss': 2.1759, 'learning_rate': 4.5840739424102386e-05, 'epoch': 0.83}
{'loss': 1.1306, 'learning_rate': 4.5822964806256666e-05, 'epoch': 0.84}
{'loss': 1.6373, 'learning_rate': 4.580519018841095e-05, 'epoch': 0.84}
{'loss': 1.6637, 'learning_rate': 4.578741557056523e-05, 'epoch': 0.84}
{'loss': 2.826, 'learning_rate': 4.576964095271952e-05, 'epoch': 0.85}
{'loss': 3.266, 'learning_rate': 4.5751866334873797e-05, 'epoch': 0.85}
{'loss': 3.64, 'learning_rate': 4.573409171702809e-05, 'epoch': 0.85}
{'loss': 2.6053, 'learning_rate': 4.571631709918237e-05, 'epoch': 0.86}
{'loss': 1.726, 'learning_rate': 4.5698542481336655e-05, 'epoch': 0.86}
{'loss': 2.3022, 'learning_rate': 4.5680767863490934e-05, 'epoch': 0.86}
{'loss': 1.4181, 'learning_rate': 4.566299324564522e-05, 'epoch': 0.87}
{'loss': 1.6652, 'learning_rate': 4.56452186277995e-05, 'epoch': 0.87}
{'loss': 1.5548, 'learning_rate': 4.562744400995379e-05, 'epoch': 0.87}
{'loss': 4.8037, 'learning_rate': 4.560966939210807e-05, 'epoch': 0.88}
{'loss': 2.0226, 'learning_rate': 4.559189477426236e-05, 'epoch': 0.88}
{'loss': 2.9797, 'learning_rate': 4.557412015641664e-05, 'epoch': 0.89}
{'loss': 2.1978, 'learning_rate': 4.555634553857092e-05, 'epoch': 0.89}
{'loss': 1.3484, 'learning_rate': 4.55385709207252e-05, 'epoch': 0.89}
{'loss': 1.2132, 'learning_rate': 4.5520796302879495e-05, 'epoch': 0.9}
{'loss': 4.8324, 'learning_rate': 4.5503021685033775e-05, 'epoch': 0.9}
{'loss': 2.1186, 'learning_rate': 4.548524706718806e-05, 'epoch': 0.9}
{'loss': 1.2781, 'learning_rate': 4.546747244934234e-05, 'epoch': 0.91}
{'loss': 1.2228, 'learning_rate': 4.5449697831496626e-05, 'epoch': 0.91}
{'loss': 1.4981, 'learning_rate': 4.5431923213650906e-05, 'epoch': 0.91}
{'loss': 2.8693, 'learning_rate': 4.541414859580519e-05, 'epoch': 0.92}
{'loss': 4.5274, 'learning_rate': 4.539637397795948e-05, 'epoch': 0.92}
{'loss': 1.7028, 'learning_rate': 4.537859936011376e-05, 'epoch': 0.92}
{'loss': 3.7935, 'learning_rate': 4.536082474226804e-05, 'epoch': 0.93}
{'loss': 1.3753, 'learning_rate': 4.534305012442233e-05, 'epoch': 0.93}
{'loss': 3.0184, 'learning_rate': 4.532527550657661e-05, 'epoch': 0.93}
{'loss': 2.0108, 'learning_rate': 4.5307500888730895e-05, 'epoch': 0.94}
{'loss': 1.2498, 'learning_rate': 4.528972627088518e-05, 'epoch': 0.94}
{'loss': 1.7249, 'learning_rate': 4.527195165303946e-05, 'epoch': 0.95}
{'loss': 1.2822, 'learning_rate': 4.5254177035193746e-05, 'epoch': 0.95}
{'loss': 3.2548, 'learning_rate': 4.5236402417348026e-05, 'epoch': 0.95}
{'loss': 2.8782, 'learning_rate': 4.521862779950231e-05, 'epoch': 0.96}
{'loss': 1.2615, 'learning_rate': 4.520085318165659e-05, 'epoch': 0.96}
{'loss': 2.0007, 'learning_rate': 4.5183078563810884e-05, 'epoch': 0.96}
{'loss': 3.4278, 'learning_rate': 4.516530394596516e-05, 'epoch': 0.97}
{'loss': 2.7914, 'learning_rate': 4.514752932811945e-05, 'epoch': 0.97}
{'loss': 3.0314, 'learning_rate': 4.512975471027373e-05, 'epoch': 0.97}
