***** Train *****
{'loss': 161.1394, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 126.952, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 88.9101, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 80.5288, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 73.8881, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 51.178, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 47.7025, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 36.7579, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 34.2795, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 27.2825, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 24.0473, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 25.4523, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 26.6666, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 22.7407, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 25.7559, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 19.562, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 24.062, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 18.9963, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 21.92, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 26.0033, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 24.4064, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 23.5361, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 26.4202, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 18.2239, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 25.5356, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 23.2687, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 23.5497, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 22.5952, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 19.7593, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 24.802, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 21.6465, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 24.8658, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 19.85, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 19.691, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 22.9214, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 21.7366, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 26.8026, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 22.4953, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 21.5418, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 27.0244, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 24.863, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 24.257, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 19.2197, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 20.8182, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 25.862, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 21.1713, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 26.18, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
{'loss': 24.4989, 'learning_rate': 4.914681834340562e-05, 'epoch': 0.17}
{'loss': 21.6092, 'learning_rate': 4.9129043725559906e-05, 'epoch': 0.17}
{'loss': 25.0256, 'learning_rate': 4.9111269107714185e-05, 'epoch': 0.18}
{'loss': 26.2329, 'learning_rate': 4.909349448986847e-05, 'epoch': 0.18}
{'loss': 22.7273, 'learning_rate': 4.907571987202275e-05, 'epoch': 0.18}
{'loss': 21.639, 'learning_rate': 4.9057945254177043e-05, 'epoch': 0.19}
{'loss': 26.5086, 'learning_rate': 4.904017063633132e-05, 'epoch': 0.19}
{'loss': 21.1605, 'learning_rate': 4.902239601848561e-05, 'epoch': 0.2}
{'loss': 22.8245, 'learning_rate': 4.900462140063989e-05, 'epoch': 0.2}
{'loss': 24.4993, 'learning_rate': 4.8986846782794174e-05, 'epoch': 0.2}
{'loss': 21.0747, 'learning_rate': 4.8969072164948454e-05, 'epoch': 0.21}
{'loss': 24.0333, 'learning_rate': 4.895129754710274e-05, 'epoch': 0.21}
{'loss': 20.5444, 'learning_rate': 4.8933522929257026e-05, 'epoch': 0.21}
{'loss': 25.7565, 'learning_rate': 4.8915748311411305e-05, 'epoch': 0.22}
{'loss': 18.5516, 'learning_rate': 4.889797369356559e-05, 'epoch': 0.22}
{'loss': 19.3768, 'learning_rate': 4.888019907571987e-05, 'epoch': 0.22}
{'loss': 23.9593, 'learning_rate': 4.886242445787416e-05, 'epoch': 0.23}
{'loss': 28.6628, 'learning_rate': 4.8844649840028436e-05, 'epoch': 0.23}
{'loss': 20.4207, 'learning_rate': 4.882687522218273e-05, 'epoch': 0.23}
{'loss': 17.4763, 'learning_rate': 4.880910060433701e-05, 'epoch': 0.24}
{'loss': 26.4229, 'learning_rate': 4.8791325986491294e-05, 'epoch': 0.24}
{'loss': 24.4957, 'learning_rate': 4.8773551368645574e-05, 'epoch': 0.25}
{'loss': 22.6687, 'learning_rate': 4.875577675079986e-05, 'epoch': 0.25}
{'loss': 25.5222, 'learning_rate': 4.873800213295414e-05, 'epoch': 0.25}
{'loss': 21.1031, 'learning_rate': 4.872022751510843e-05, 'epoch': 0.26}
{'loss': 24.2404, 'learning_rate': 4.870245289726271e-05, 'epoch': 0.26}
{'loss': 21.6173, 'learning_rate': 4.8684678279417e-05, 'epoch': 0.26}
{'loss': 24.2179, 'learning_rate': 4.866690366157128e-05, 'epoch': 0.27}
{'loss': 24.8367, 'learning_rate': 4.864912904372556e-05, 'epoch': 0.27}
{'loss': 22.6358, 'learning_rate': 4.863135442587984e-05, 'epoch': 0.27}
{'loss': 21.6059, 'learning_rate': 4.8613579808034135e-05, 'epoch': 0.28}
{'loss': 23.1892, 'learning_rate': 4.8595805190188414e-05, 'epoch': 0.28}
{'loss': 18.7077, 'learning_rate': 4.85780305723427e-05, 'epoch': 0.28}
{'loss': 19.8275, 'learning_rate': 4.856025595449698e-05, 'epoch': 0.29}
{'loss': 19.9375, 'learning_rate': 4.8542481336651266e-05, 'epoch': 0.29}
{'loss': 23.4582, 'learning_rate': 4.8524706718805545e-05, 'epoch': 0.3}
{'loss': 22.7934, 'learning_rate': 4.850693210095983e-05, 'epoch': 0.3}
{'loss': 26.0561, 'learning_rate': 4.848915748311412e-05, 'epoch': 0.3}
{'loss': 21.5598, 'learning_rate': 4.8471382865268397e-05, 'epoch': 0.31}
{'loss': 22.957, 'learning_rate': 4.845360824742268e-05, 'epoch': 0.31}
{'loss': 20.8368, 'learning_rate': 4.843583362957697e-05, 'epoch': 0.31}
{'loss': 26.718, 'learning_rate': 4.841805901173125e-05, 'epoch': 0.32}
{'loss': 20.2308, 'learning_rate': 4.8400284393885534e-05, 'epoch': 0.32}
{'loss': 17.6888, 'learning_rate': 4.838250977603982e-05, 'epoch': 0.32}
{'loss': 25.9365, 'learning_rate': 4.83647351581941e-05, 'epoch': 0.33}
{'loss': 31.2365, 'learning_rate': 4.8346960540348386e-05, 'epoch': 0.33}
{'loss': 18.1337, 'learning_rate': 4.8329185922502665e-05, 'epoch': 0.33}
{'loss': 27.0541, 'learning_rate': 4.831141130465695e-05, 'epoch': 0.34}
{'loss': 20.6433, 'learning_rate': 4.829363668681123e-05, 'epoch': 0.34}
{'loss': 22.9707, 'learning_rate': 4.827586206896552e-05, 'epoch': 0.34}
{'loss': 22.3182, 'learning_rate': 4.82580874511198e-05, 'epoch': 0.35}
{'loss': 20.4832, 'learning_rate': 4.824031283327409e-05, 'epoch': 0.35}
{'loss': 25.4288, 'learning_rate': 4.822253821542837e-05, 'epoch': 0.36}
{'loss': 24.4075, 'learning_rate': 4.8204763597582654e-05, 'epoch': 0.36}
{'loss': 19.7376, 'learning_rate': 4.8186988979736933e-05, 'epoch': 0.36}
{'loss': 24.6569, 'learning_rate': 4.8169214361891226e-05, 'epoch': 0.37}
{'loss': 22.9416, 'learning_rate': 4.8151439744045506e-05, 'epoch': 0.37}
{'loss': 21.4302, 'learning_rate': 4.813366512619979e-05, 'epoch': 0.37}
{'loss': 22.9312, 'learning_rate': 4.811589050835407e-05, 'epoch': 0.38}
{'loss': 24.9, 'learning_rate': 4.809811589050836e-05, 'epoch': 0.38}
{'loss': 24.5051, 'learning_rate': 4.8080341272662636e-05, 'epoch': 0.38}
{'loss': 20.2375, 'learning_rate': 4.806256665481693e-05, 'epoch': 0.39}
{'loss': 21.9195, 'learning_rate': 4.804479203697121e-05, 'epoch': 0.39}
{'loss': 19.5378, 'learning_rate': 4.8027017419125495e-05, 'epoch': 0.39}
{'loss': 24.2857, 'learning_rate': 4.8009242801279774e-05, 'epoch': 0.4}
{'loss': 19.23, 'learning_rate': 4.799146818343406e-05, 'epoch': 0.4}
{'loss': 19.0776, 'learning_rate': 4.797369356558834e-05, 'epoch': 0.41}
{'loss': 20.852, 'learning_rate': 4.7955918947742626e-05, 'epoch': 0.41}
{'loss': 20.9032, 'learning_rate': 4.793814432989691e-05, 'epoch': 0.41}
{'loss': 18.3968, 'learning_rate': 4.792036971205119e-05, 'epoch': 0.42}
{'loss': 24.5851, 'learning_rate': 4.790259509420548e-05, 'epoch': 0.42}
{'loss': 18.7056, 'learning_rate': 4.7884820476359756e-05, 'epoch': 0.42}
{'loss': 23.1516, 'learning_rate': 4.786704585851404e-05, 'epoch': 0.43}
{'loss': 18.6974, 'learning_rate': 4.784927124066833e-05, 'epoch': 0.43}
{'loss': 15.7991, 'learning_rate': 4.7831496622822615e-05, 'epoch': 0.43}
{'loss': 22.4749, 'learning_rate': 4.7813722004976894e-05, 'epoch': 0.44}
{'loss': 22.9279, 'learning_rate': 4.779594738713118e-05, 'epoch': 0.44}
{'loss': 26.4557, 'learning_rate': 4.777817276928546e-05, 'epoch': 0.44}
{'loss': 20.7779, 'learning_rate': 4.7760398151439746e-05, 'epoch': 0.45}
{'loss': 22.1399, 'learning_rate': 4.7742623533594025e-05, 'epoch': 0.45}
{'loss': 21.5821, 'learning_rate': 4.772484891574832e-05, 'epoch': 0.46}
{'loss': 19.6653, 'learning_rate': 4.77070742979026e-05, 'epoch': 0.46}
{'loss': 20.4301, 'learning_rate': 4.768929968005688e-05, 'epoch': 0.46}
{'loss': 26.7367, 'learning_rate': 4.767152506221116e-05, 'epoch': 0.47}
{'loss': 20.0179, 'learning_rate': 4.765375044436545e-05, 'epoch': 0.47}
{'loss': 22.6997, 'learning_rate': 4.763597582651973e-05, 'epoch': 0.47}
{'loss': 21.4895, 'learning_rate': 4.761820120867402e-05, 'epoch': 0.48}
{'loss': 24.7861, 'learning_rate': 4.76004265908283e-05, 'epoch': 0.48}
{'loss': 16.7887, 'learning_rate': 4.7582651972982586e-05, 'epoch': 0.48}
{'loss': 22.1772, 'learning_rate': 4.7564877355136865e-05, 'epoch': 0.49}
